codigo_noticia,Quantidade de Chunks (Fragmentos),titulo_noticia,Justificativa
150624AGR_A,24,MST faz campanha de arrecadação para vítimas de ataque a acampamento na Paraíba,Documento Completo/Relatório Longo
180424AGR_A,24,"Arte e luta: em defesa da reforma agrária e rumo a seu 7o Congresso Nacional, MST realiza sarau no Dia de Luta pela Terra",Documento Completo/Relatório Longo
010824AGR_C,24,Justiça concede liberdade a militantes do MST presos em ação policial violenta no Maranhão,Documento Completo/Relatório Longo
201224AGR_A,24,"Agricultores de acampamento em Lábrea, no sul do Amazonas, voltam a denunciar agressões e destruição de barracos",Documento Completo/Relatório Longo
040124AGR_C,24,Coordenador do MST reclama da falta de “comando político” de Lula em 2023,Documento Completo/Relatório Longo
271224AGR_B,24,Inauguração de agroindústria artesanal em Belterra promete fortalecer a economia local e sustentabilidade,Documento Completo/Relatório Longo
280224AGR_C,24,Sessão solene da Câmara homenageia 40 anos do Movimento dos Sem Terra,Documento Completo/Relatório Longo
280924AGR_B,24,Liderança Quilombola é assassinada no Pará,Documento Completo/Relatório Longo
300424AGR_A,24,Famílias desocupam Coqueirinho com 'esperança renovada' na reforma agrária,Documento Completo/Relatório Longo
300724AGR_B,24,CamponesesocupamoIncra durantelançamentodapublicação ConflitosnoCampoBrasil2023,Documento Completo/Relatório Longo
130124AGR_A,24,"Em reunião com lideranças quilombolas, Jerônimo Rodrigues traça alinhamento para políticas públicas territoriais em comunidades",Documento Completo/Relatório Longo
201224AGR_C,24,"Assentamento Senhor do Bonfim, em Alagoinha (PB), celebra 28 anos de luta pela terra",Documento Completo/Relatório Longo
